ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,MViolation,MViolation_Time_1,MViolation_Time_2,MViolation_Time_3,MViolation_Time_4,Conform,Conform_time_1,Conform_time_2,Conform_time_3,Conform_time_4,Malfunction,Malfunction_time_1,Malfunction_time_2,Malfunction_time_3,Malfunction_time_4,Agent_rel_1,Agent_rel_2,Agent_cause_1,Agent_cause_2,Object_Rel_1,Object_Rel_2,Object_cause_1,Object_cause_2,Control1_1_1,Control1_1_2,Control1_2_1,Control1_2_2,Control2_1_1,Control2_1_2,Control2_2_1,Control2_2_2,Control3_1_1,Control3_1_2,Control3_2_1,Control3_2_2,probability_4,morality,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BR-FL_15,DO-BR-FL_22,DO-BL-AgentQuestions,DO-BL-ObjectQuestions,DO-Q-MViolation,DO-Q-Conform,DO-Q-Object_Rel,DO-Q-Agent_rel,LocationLatitude,LocationLongitude,LocationAccuracy
R_3nSEN97iknFOg0F,Default Response Set,Anonymous,,,97.94.245.51,0,10/7/2016 17:22,10/7/2016 17:23,1,1,1,1,1,0,0,1.544,0,,,,,,,,,,,1,1,1,,,,,,1,,1,,,1,1,,1,,1,,52,6,1,26,1,,,,,1,,,Moral norm violation,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,44.12130737,-124.0023041,-1
R_2noB08xkoeZB2i5,Default Response Set,Anonymous,,,47.148.170.26,0,10/7/2016 17:23,10/7/2016 17:23,1,1,1,1,,,,,,,,,,,1,1.47,2.213,3.394,2,,,,,1,1,,1,1,,,1,1,,,1,,,1,,,8,1,,2,,,,,1,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,2|1,,34.05439758,-118.2440033,-1
R_12imPcPAQ1Tx6Wd,Default Response Set,Anonymous,,,107.213.216.165,0,10/7/2016 17:23,10/7/2016 17:25,1,1,1,1,,,,,,,,,,,1,0,0,59.394,0,,,,,1,1,,1,,1,1,,1,,,1,1,,1,1,43,7,2,43,1,,,,,1,,,Malfunction,Object Questions,,Object_Rel|Object_cause,,,2|1,,25.65859985,-80.35679626,-1
R_UYLNkXgyRRU3vUZ,Default Response Set,Anonymous,,,68.52.107.175,0,10/7/2016 17:22,10/7/2016 17:25,1,1,1,1,1,50.948,62.08,70.598,8,,,,,,,,,,,2,1,,1,,,,,1,,,1,1,,1,,,1,1,1,70,5,2,25,2,,,,,1,,,Moral norm violation,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,36.34790039,-86.60050201,-1
R_3KHZwvWOOktljlg,Default Response Set,Anonymous,,,75.183.127.85,0,10/7/2016 17:23,10/7/2016 17:25,1,1,1,1,,,,,,,,,,,1,0,0,36.633,0,1,2,1,1,,,,,,1,1,,1,1,1,,1,1,1,1,32,9,2,28,2,,,,,1,,,Malfunction,Agent Questions,Agent_cause|Agent_rel,,,,,1|2,35.98939514,-79.50469971,-1
R_3GdJqZO1dsGZVIC,Default Response Set,Anonymous,,,64.53.254.81,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,1,0,0,69.942,0,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,,,,,1,1,1,79,7,1,29,2,,1,,,,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,1|2,,41.86610413,-88.0582962,-1
R_3njZ7jqSEHRlYM4,Default Response Set,Anonymous,,,72.135.211.184,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,,,,,,1,0,0,44.639,0,,,,,,,,,,1,1,,1,,1,1,,1,,1,,1,1,1,1,100,8,1,30,2,,,,,1,,,Norm conforming,Object Questions,,Object_Rel|Object_cause,,,2|1,,43.23579407,-88.12709808,-1
R_1gAwXXtrv6wR6Nu,Default Response Set,Anonymous,,,107.11.144.182,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,,,,,,1,0,0,55.915,0,,,,,,1,1,1,1,,,,,1,,1,,1,,1,,1,1,1,1,99,10,1,33,2,,,,,1,,,Norm conforming,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,40.01550293,-82.91770172,-1
R_2AWK01VX5onqysb,Default Response Set,Anonymous,,,75.163.138.200,0,10/7/2016 17:23,10/7/2016 17:26,1,1,1,1,,,,,,1,0,0,43.324,0,,,,,,,,,,2,1,,1,1,,1,,1,,1,,1,1,1,1,100,10,2,,2,,,,1,,,,Norm conforming,Object Questions,,Object_cause|Object_Rel,,,2|1,,38.83120728,-104.808197,-1
R_25Z9kCgdeKWKyDM,Default Response Set,Anonymous,,,173.150.95.135,0,10/7/2016 17:25,10/7/2016 17:26,1,1,1,1,,,,,,1,0,0,1.165,0,,,,,,1,1,1,1,,,,,1,,,1,1,,1,,1,1,1,,63,9,1,33,2,,,,1,,,,Norm conforming,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,41.8032074,-88.13410187,-1
