ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,Conform,Conform_time_1,Conform_time_2,Conform_time_3,Conform_time_4,ProfManip,LeverManip,altTime_1,altTime_2,altTime_3,altTime_4,outcomeChange,Object_cause_8,Agent_cause_8,control1_1,control1_2,control1_3,control2_1,control2_2,control2_3,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BL-Manipulation,DO-BL-CausationQuestions,DO-Q-Conform,LocationLatitude,LocationLongitude,LocationAccuracy
R_1P1KURXasXINQIN,Default Response Set,Anonymous,,,66.168.113.244,0,1/19/2017 15:22,1/19/2017 15:25,1,1,1,1,1,1.099,1.099,48.843,1,,IT COULD HAVE DISPENSED AN ERASER INSTEAD OF A PENCIL. IT ALSO COULD HAVE DISPENSED A BROKEN PENCIL OR NO PENCIL AT ALL. ,17.001,17.001,49.13,1,17,10,6,1,1,,1,1,,2,54,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,42.19119263,-71.77890015,-1
R_2EpczxbQtcPBASl,Default Response Set,Anonymous,,,70.94.39.183,0,1/19/2017 15:22,1/19/2017 15:25,1,1,1,1,1,45.436,45.436,48.006,1,,"Well, if the red lever didn't produce a pencil, the people would just assume the machine was out of pencils. If it didn't function, maybe they would assume it is broken. Then two people would be out of pencils, instead of one. ",1.476,1.476,73.453,1,17,0,0,1,1,,1,1,,2,26,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,39.26919556,-94.38909912,-1
R_1jUoWydCPtAHc9r,Default Response Set,Anonymous,,,73.43.39.221,0,1/19/2017 15:21,1/19/2017 15:25,1,1,1,1,1,0,0,45.94,0,,"The red lever could have been connected to product that was about to run out. Per the story, it was the last pencil from the red lever. Perhaps, the next person who pulls the red lever would think that the machine is malfunctioning if you are not able to see the amount of stock remaining. Case in point, the kid at the end of the passage may have pulled the red lever, and got nothing. What one might consider a malfunction, another might consider it unstocked and functioning properly even though there is no product. ",12.499,12.499,105.18,1,16,0,0,1,1,,1,,,1,29,2,,,,,,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,33.77189636,-84.37709808,-1
R_33BUe0vDtcw8We3,Default Response Set,Anonymous,,,74.132.157.83,0,1/19/2017 15:22,1/19/2017 15:25,1,1,1,1,1,0,0,30.044,0,,"If the red lever hadn't functioned, then one of them would have just reached in and took a pencil as they were accustomed to doing in situations like this.  This doesn't address the issue of the student needing a pencil, though.  He/she is out of a pencil either way.",1.584,12.392,77.05,2,16,0,20,1,1,,1,1,,1,38,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,36.87930298,-86.45980072,-1
R_3fxulqiiJNM2TW5,Default Response Set,Anonymous,,,107.134.67.105,0,1/19/2017 15:23,1/19/2017 15:26,1,1,1,1,1,0,0,32.376,0,"If Professor Smith had brought their own pencil, there would have been enough for the student that was taking a test.  Professor Smith should have noticed that there were only two pencils left in the machine and maybe tried to see if they already had one at their desk or in their bag.",,0.847,5.564,56.018,2,18,100,0,,1,1,1,1,,2,40,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,34.14039612,-81.3368988,-1
R_DCbnWfWK3A3XtSN,Default Response Set,Anonymous,,,98.199.133.228,0,1/19/2017 15:21,1/19/2017 15:26,1,1,1,1,1,0,0,56.705,0,"Professor Smith could have borrowed a pencil from an alternate source. Professor Smith could have asked another professor for a pencil which would have allowed the student to use the last pencil. Had Professor Smith borrowed a pencil from another professor instead of the vending machine, there would have been enough pencils for everyone. ",,20.488,20.488,137.52,1,18,32,40,1,1,,1,1,,2,25,1,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,29.97790527,-95.57700348,-1
R_W1Ks17pXt9twI0N,Default Response Set,Anonymous,,,96.250.251.64,0,1/19/2017 15:22,1/19/2017 15:26,1,1,1,1,1,56.786,66.444,67.201,2,If Professor Smith had not been told that he was allowed to get pencils from the machine he probably wouldn't have taken one. And there would have been one available pencil for the student.,,31.854,105.266,110.442,7,19,0,60,1,1,,1,1,,2,56,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,40.62519836,-73.9457016,-1
R_2PuOeZ5HDVNashz,Default Response Set,Anonymous,,,205.148.51.60,0,1/19/2017 15:23,1/19/2017 15:26,1,1,1,1,1,0,0,59.26,0,If Professor Smith did not take the pencil the student would have had a pencil.  If the assistant needed a pencil why did professor Smith also need a pencil.  ,,10.94,10.94,70.682,1,19,7,98,1,1,,1,1,,2,48,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,40.35949707,-74.26280212,-1
R_3PCalAbMtGRAeAm,Default Response Set,Anonymous,,,162.196.89.25,0,1/19/2017 15:24,1/19/2017 15:26,1,1,1,1,1,0,0,10.954,0,The statistics of the pencil being pulled would have been different and it would have affected the number of pencils taken. ,,1.086,37.712,38.143,2,16,33,54,1,,,,,1,1,24,1,,1,,,,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,38.53700256,-121.6631012,-1
R_2tE96YDITZ96eYo,Default Response Set,Anonymous,,,68.104.242.149,0,1/19/2017 15:24,1/19/2017 15:26,1,1,1,1,1,0,0,41.955,0,He could have shared the pencil and the student would have gotten one as well.,,14.496,14.496,36.084,1,18,1,22,1,1,,1,1,,2,29,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,33.57339478,-112.2570038,-1
R_T72H8x8rCieMKuR,Default Response Set,Anonymous,,,97.122.250.240,0,1/19/2017 15:21,1/19/2017 15:26,1,1,1,1,1,0,0,73.56,0,,The red lever would not have functioned to produce a pencil if there was one less pencil in the machine.  If there was one less pencil just the administrative assistant who pulled the black lever would get a pencil and Mr. Smith would know the machine was out of pencils.  Maybe Mr. Smith would put in more pencils because he knew they were in high demand with the students before the student pulled the lever resulting in them actually getting one for their test.,35.037,35.037,149.945,1,18,5,5,1,1,,1,1,,2,34,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,39.91340637,-105.0074997,-1
R_1dca04jIv05U2Z8,Default Response Set,Anonymous,,,174.17.137.155,0,1/19/2017 15:22,1/19/2017 15:27,1,1,1,1,1,0,0,77.134,0,,"If the machine didn't recognize both the black and red levers being pulled at the same time.  It might of only produced one pencil, leaving one pencil for the student.",19.868,77.722,83.65,2,18,0,40,1,1,,1,1,,1,30,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,33.62989807,-112.1334,-1
